trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-82.28379363844735,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",35,0,-340.29383683339597,"{0: 17, 1: 2, 2: 7, 3: 4, 4: 5}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-22.870742136012026,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-121.49283962296116,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",30,0,-234.27767406468146,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-72.93196895330003,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-52.060497217898714,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-105.32911882227893,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-132.14331114949485,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-116.22018805144755,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-72.98432980329926,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,15,1.9924922590864478,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-253.44999435983624,"{0: 12, 1: 3, 2: 3, 3: 3, 4: 4}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-72.80215421506485,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-82.14593359282821,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",35,0,-219.55952812194474,"{0: 20, 1: 2, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-26.890113744031748,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-77.14128677272058,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
