trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.4503579246397,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.0432786697212,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.69458386376995,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.29372205872383,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.05210946768068,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.05960762769327,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.11174068208524,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.19467223864385,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.187513944594386,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-226.23143243836685,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.5925166839251,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.30227359728293,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.02161812635659,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.41487860659471,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.3188888005688,"{0: 13, 1: 3, 2: 4, 3: 5, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.93639081063458,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.22983381084694,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
